Gene Symbol,log2FC,pval,adj_pval,significant,gran_corr,purity_flag
AK096803,2.307143209051522,1.2484140359517193e-10,1.652525659389291e-06,True,-0.1754811490688464,False
RPS27,0.6399308896654521,2.6438128490072194e-09,1.1050166371235767e-05,False,,False
CAB39,-0.7625522450787905,3.3391754540260686e-09,1.1050166371235767e-05,False,,False
LOC100996756,-1.9515246960846984,3.15945914450547e-09,1.1050166371235767e-05,True,0.22577741201562065,False
TMA7,0.9420350766828367,1.3606205412684953e-08,3.602106820954214e-05,False,,False
HLA-C,0.5911636310207449,2.8827642732869992e-08,5.4513072407857154e-05,False,,False
RPS29,0.5976188039241741,2.5768343468663085e-08,5.4513072407857154e-05,False,,False
CLC,-4.0347926891728125,4.5912449495178083e-08,5.607519575145986e-05,True,0.7266596053659384,True
HLA-J,1.171471871408622,4.737531182099426e-08,5.607519575145986e-05,True,-0.2683174592370164,False
RPS11,0.5963806576604096,5.401162026841026e-08,5.607519575145986e-05,False,,False
NDNF,1.6400360831927792,4.3382431093940215e-08,5.607519575145986e-05,True,-0.39623503431092444,False
HLA-A,0.6428736271677842,5.507120531608206e-08,5.607519575145986e-05,False,,False
GPT,2.1219558659134075,5.19167839429858e-08,5.607519575145986e-05,True,-0.23623547339916284,False
LOC100506248,0.8140226035764577,8.788196926397893e-08,7.167000766613813e-05,False,,False
RPL29,0.8520848077381888,9.258878508043969e-08,7.167000766613813e-05,False,,False
RPLP2,0.6812598869422128,9.279968155362268e-08,7.167000766613813e-05,False,,False
RPS20,0.7370659094832241,9.432334926495169e-08,7.167000766613813e-05,False,,False
EEF1G,0.5749044080028387,9.745864908895418e-08,7.167000766613813e-05,False,,False
UBA52,0.7811365915869768,1.1163271645622633e-07,7.388411338655339e-05,False,,False
RPL8,0.7258039831059779,1.0942459161319366e-07,7.388411338655339e-05,False,,False
EIF3K,0.6569134777464498,1.7378115602485157e-07,0.00010954005534766478,False,,False
VSTM4,1.4093687728958728,1.8599919476850162e-07,0.00011191233368866618,True,-0.1537886228960755,False
CIDEB,-0.7504542833219823,1.953876197625265e-07,0.00011244982273028537,False,,False
RPS19,0.8464178926118215,2.08220065252092e-07,0.00011484204182258092,False,,False
RPS28,0.5746655406063592,2.5137038862227973e-07,0.00012531875113025315,False,,False
RPL13,0.7654916981990993,2.556173060751556e-07,0.00012531875113025315,False,,False
DHDDS,-0.7311475652814217,2.3803540362413629e-07,0.00012531875113025315,False,,False
RPLP1,0.6704356586544638,2.7253688880412487e-07,0.00012884181418215004,False,,False
NFKB1,-0.5563213988782305,3.054351271163941e-07,0.00013941533715998994,False,,False
GLTP,0.9822257114551549,3.585294891917948e-07,0.00014927331567089587,False,,False
RNASE2,-3.1149137787391528,3.594953176655758e-07,0.00014927331567089587,True,0.87225635209631,True
RPL32,0.7453737402340863,3.6086319418815954e-07,0.00014927331567089587,False,,False
RPL13A,0.6915421536003734,3.877723840929457e-07,0.00015554372873449463,False,,False
ENTPD2,1.3236932774744274,4.2786209485529797e-07,0.00016657678087057587,True,-0.07119185808439892,False
POLD4,2.1041522970962125,4.607501711398896e-07,0.00017425571472510625,True,-0.23683079410594338,False
SCAND1,0.738549702788017,4.781122346448943e-07,0.00017525832958945276,False,,False
RPL41,0.48427764227009007,4.89881256690319e-07,0.00017525832958945276,False,,False
HSPH1,-1.244613975923956,5.059652681848977e-07,0.00017624900670956553,True,0.41161845890366044,False
SAT1,-1.3785532556085158,5.677980234785718e-07,0.00019271647273809886,True,0.583892656003773,True
C17orf85,-0.4823219830466119,6.06590629745051e-07,0.000200736004148381,False,,False
ARHGDIG,1.735681352965714,6.531159890260478e-07,0.00021086088650579986,True,-0.3269006120873181,False
EEF1A1,0.5176714585025302,8.318556464926625e-07,0.0002591898735614752,False,,False
UBR5,-0.5429675635786264,8.419705796739016e-07,0.0002591898735614752,False,,False
PPP2R1A,0.7015521752502778,1.0837968937112512e-06,0.00032605044277399616,False,,False
RPL12,0.7218293874135018,1.1874200983016152e-06,0.000349286218693744,False,,False
RPS14,0.5101498091585661,1.2746813448328394e-06,0.0003668034122076586,False,,False
HSPA1A,-2.291624101685848,1.3665331179345625e-06,0.0003848680613212724,True,0.4498091273453503,False
REN,-1.4813856304570887,1.5871294529051406e-06,0.00043768401183552803,True,0.2128032416107848,False
RNASE3,-2.956796883654624,1.753730955341364e-06,0.00047375789093578847,True,0.7942265542666695,True
LOC101929889,1.5672106415565619,1.8753394957558766e-06,0.0004964773781064108,True,-0.22482144296762557,False
