,lr_coef,rf_importance
EEF1A1,0.00401655156460741,0.0
B2M,0.003971775900661127,0.0
RPL23A,0.003263573768873161,0.0
LOC101928826,0.00032168431360874827,0.0
UBC,0.0006995484497395661,0.0
HLA-C,0.005327794789550063,0.0
RPL13A,0.0043623945736022225,0.002897161505161505
HLA-B,0.0038982933059053594,0.0
IGK,-0.00024344713710484903,0.0
RPL37A,0.003569582402522691,0.0
IGHG1,-0.0008102416702125887,0.0
RPS10,0.005068608050024872,0.0014386828742883522
RPS11,0.005000412066044606,0.0018702923074810235
CYAT1,-0.0007227207853906194,0.0
RPL41,0.0030796069361253876,0.0
IGLC1,-0.00021460579269376757,0.0
HUWE1,-0.0009212953444217354,0.0
RPS3A,0.004316764511457269,0.0
RPS18,0.0029614889609795043,0.0
RPS17,0.004814218359814322,0.004768454430755071
RPL27A,0.003305270776257864,0.0034759037194328013
RPS6,0.003848198558005202,0.0
BLOC1S5-TXNDC5,0.0015257973086957905,0.0
RPLP1,0.005815704080358841,0.0
RPLP0,0.0046231218667995054,0.000773015049299429
SSR4,0.0025086108568398366,0.0
RNU86,0.0010831539793461182,0.0
RPL7A,0.0027181555603057223,0.0
RPS27,0.00629971991623541,0.005767815134143001
RPS14,0.0039021468197330948,0.0
RPS15,0.0037126856737831723,0.0016973518265294065
RPS23,0.0034819782515201564,0.0005104459298007685
RPS19,0.005789211500473274,0.013254636388127456
RP5-882O7.1,0.002007497522087403,0.0
RPL3,0.0008831663014354605,0.0
RPL7,0.002209969712324608,8.810062018199734e-05
RPS4X,0.0026365480034994857,0.0
RPS28,0.004316810126489755,0.003443296803731539
RPL10,0.0025200866796041147,0.0
RPL18A,0.0036303179073913895,0.0031172560640991406
FTL,0.0013220946694819044,0.0
RPL13,0.0046261473888523095,0.001308224854584205
EEF1G,0.003938310880408524,0.0018656024459287953
HLA-A,0.005928634580883963,0.0012027972027972029
RPL32,0.005942128076198763,0.007391253874353694
RPL9,0.0029812289027022717,0.0002511566424322537
RPL31,0.00378736132296149,0.0
RPS2,0.003173924690657282,0.004364332342069771
RPL30,0.004944078749321633,0.0013337256227764025
RPL39,0.004914855727659748,0.0014192654192654193
