,E2F Targets,Myc Targets V1,G2-M Checkpoint,Oxidative Phosphorylation,stage
GSM148911,1.0572741559127075,0.959616370362074,1.1312045091033787,0.2205840170971936,MM_Relapse
GSM148912,-0.5108808459325748,-0.6754255053501454,-0.44541553414135926,-0.6155199787441292,MGUS
GSM148914,0.5716197034464445,0.6876732050055153,0.4966824832506773,0.3424679227939969,MM_New
GSM148915,0.16933887497263309,0.853650743002797,0.06865608787614297,0.4477766036528464,MM_New
GSM148916,-0.006234722126038769,0.4422401651828762,0.11101465741713838,0.4361860874449918,MM_Relapse
GSM148917,-0.07599028052133876,0.18934722688075267,-0.07379077368442159,0.3016650070959205,MM_New
GSM148918,0.13486049040500647,0.5893207763609786,0.10076857304336433,1.171117222085363,MM_New
GSM148919,-0.577147536778238,0.06777535219226855,-0.5459843129104273,0.0979254756254466,SMM
GSM148920,0.9408392133728884,1.0103539429158268,0.8509648933054177,1.1510779745946775,MM_Relapse
GSM148921,-0.4789504124964399,-0.03579273398380631,-0.5210478894891695,0.009008107101097994,MM_New
GSM148922,0.05962021829359612,0.27408049534614337,0.07158418632195411,-0.046738197252037754,MM_New
GSM148923,0.3721939863696649,0.7697318486182623,0.5405024281783377,0.5742081224782388,MM_New
GSM148924,0.6337772386850042,0.5220986569846413,0.5096365178470703,0.5230839569765926,MM_Relapse
GSM148925,-0.31079192710151965,-0.3523229293932565,-0.47253331110522023,-0.46052853345448813,MM_New
GSM148926,1.8301048236174933,1.574395020596233,1.8529132414546283,0.8004066110318505,MM_Relapse
GSM148927,-0.7944325014224778,-0.4015606908678152,-0.6729658442333253,-0.11969686400527796,SMM
GSM148928,-0.41829453721058757,-0.10810487955892904,-0.3949395353264019,-0.1261567697775559,SMM
GSM148929,-0.2913391856464683,-0.2241053560370748,-0.34310987024179307,-0.09659851210948879,SMM
GSM148930,0.7352811317049915,0.5034498610950617,0.9128819106449518,0.45517388362276595,MM_Relapse
GSM148931,-0.32915622876477957,0.0922623253433425,-0.23032723198879698,0.05443648347062074,SMM
GSM148932,0.09373575380232918,0.48630581449083377,0.09449353621692488,0.47708584668702686,MM_Relapse
GSM148933,0.49497038017628997,0.7387421401876859,0.29724178483054225,0.9200231353225607,MM_Relapse
GSM148934,-0.2068374962427854,-0.2628835990821869,-0.08153886951992387,0.21681746601022062,MM_Relapse
GSM148935,0.5240899060724598,1.1445200847188965,0.5678325330188201,0.7400511448660461,MM_Relapse
GSM148936,-0.06663969981783807,0.04429754989049698,0.055870605973869544,-0.2619636883289006,MM_Relapse
GSM148937,0.16939552990212,-0.02523156277168425,0.04466158882604869,-0.5373037454369054,MGUS
GSM148938,0.45774275284921606,0.21558439324551695,0.43274206952107785,0.567487681739336,MM_New
GSM148939,0.3914394349995706,0.26389660045001273,0.40014031301119996,0.23122726253470016,MM_New
GSM148940,-0.22132956813682006,-0.2785696840451602,0.025347016677039817,-0.06758240727813002,MM_New
GSM148941,-0.07700071058924321,-0.5786042393273028,0.0071194350879893046,-0.6339662347732469,SMM
GSM148942,0.26047145338806416,0.09842898010352634,0.21982276593872027,0.5024359477821574,MM_New
GSM148943,-0.49171429411204015,-0.26538481691381766,-0.5395115077448644,-0.15116719738858683,SMM
GSM148944,-0.19599773341504775,-0.30309637343170015,-0.24247223286962644,-0.054135463620199345,MM_New
GSM148945,-0.13638155401976657,-0.027457842801582172,-0.18928642667816134,0.2003907584057124,MM_Relapse
GSM148946,-0.02319066150318184,0.29656087808320275,-0.1611298753539976,0.5282178233096344,MM_New
GSM148947,0.07346457784118753,0.2360107872785771,0.12043362891720556,0.2324721083729028,MM_New
GSM148948,-0.604719894395474,0.09605205635371938,-0.5865969052470732,0.3257220258512384,MGUS
GSM148949,0.7251339662649279,0.7838938317158022,0.5999404905074807,0.6823675297979946,MM_New
GSM148950,0.12495571504941948,0.4582822780940963,0.039291142361813636,0.42795540968125834,MM_New
GSM148951,0.6971004155541629,0.5344598830253412,0.6704140163028715,0.16935822538442966,MM_New
