Term,NES_before,FDR_before,NES_after,FDR_after,dNES,sig_before,sig_after,verdict
Adipogenesis,-1.2566282130959177,0.1236543753439736,-1.1905154967636207,0.19319036869826936,0.06611271633229698,True,True,survived
Allograft Rejection,-1.4488070945125076,0.0376077783892863,-1.234696537518892,0.1627334290991176,0.21411055699361548,True,True,survived
Androgen Response,-1.2667172374259854,0.1226340599650642,-1.2158021093567475,0.16969280596721953,0.050915128069237925,True,True,survived
Angiogenesis,-1.8255496440127184,0.0056411667583929,-1.7179466936558447,0.009781790820165536,0.10760295035687362,True,True,survived
Apical Junction,-1.1635723851626378,0.24821133736929,-1.0082833713136832,0.5490424524867109,0.15528901384895466,True,False,LOST significance
Apical Surface,1.2667948982352912,0.350612629594722,1.35405441372439,0.19926450558430947,0.08725951548909872,False,True,NEW
Apoptosis,-1.5510262401249653,0.0169235002751788,-1.5253409011746835,0.035214446952595936,0.0256853389502818,True,True,survived
Bile Acid Metabolism,-1.0438310611093369,0.4343698403962575,-1.152412301794389,0.24884875846501128,-0.10858124068505215,False,True,NEW
Cholesterol Homeostasis,-1.514439555983909,0.0211543753439735,-1.3777597231678465,0.05696454654096401,0.13667983281606255,True,True,survived
Coagulation,-1.4699069164725949,0.0331833338728997,-1.0285973388422567,0.5231571573129913,0.4413095776303382,True,False,LOST significance
Complement,-2.0795302862262117,0.0,-1.721421939017287,0.011738148984198647,0.3581083472089248,True,True,survived
DNA Repair,0.8497211261191534,0.9062205466541,0.8243029157569429,1.0,-0.02541821036221048,False,False,ns both
E2F Targets,-0.735599917996345,0.9900247660979636,-0.8052950018742759,0.9212902459308542,-0.06969508387793089,False,False,ns both
Epithelial Mesenchymal Transition,-1.535391328190912,0.0180517336268574,-1.334991934450266,0.07568017108233338,0.20039939374064586,True,True,survived
Estrogen Response Early,-1.0617128838512342,0.4424286500511046,-1.066387629978243,0.45104924337429986,-0.004674746127008911,False,False,ns both
Estrogen Response Late,-1.5357797769362331,0.0193411431716329,-1.4962094000397372,0.03423626787057938,0.039570376896495896,True,True,survived
Fatty Acid Metabolism,-1.4314268595692383,0.0372317006053935,-1.4359327760176108,0.03982586262495969,-0.0045059164483725045,True,True,survived
G2-M Checkpoint,-0.8359979360552712,1.0,-0.8527388076608919,0.8901429646350639,-0.016740871605620766,False,False,ns both
Glycolysis,-1.2688865599444483,0.1271826687346775,-1.2452427578341356,0.15846501128668172,0.023643802110312695,True,True,survived
Hedgehog Signaling,1.0350449774042696,0.4936044163188366,1.0754717998164334,0.4867105109545861,0.040426822412163776,False,False,ns both
Hypoxia,-1.5876723469482363,0.0203082003302146,-1.5273125722827132,0.03586656634060697,0.060359774665523114,True,True,survived
IL-2/STAT5 Signaling,-1.7683099632904429,0.0032235238619388,-1.4824324265994449,0.033860045146726865,0.285877536690998,True,True,survived
IL-6/JAK/STAT3 Signaling,-1.7645655647602914,0.0028205833791964,-1.4255786972328601,0.03484762979683973,0.33898686752743123,True,True,survived
Inflammatory Response,-1.8847575746214928,0.0,-1.8949299759480276,0.0,-0.010172401326534741,True,True,survived
Interferon Alpha Response,-1.052644547998115,0.4536276165714611,-1.0148886739780623,0.545823927765237,0.03775587402005276,False,False,ns both
Interferon Gamma Response,-1.5602063818838958,0.0184620003001951,-1.5204195127911446,0.03468089472604145,0.0397868690927512,True,True,survived
KRAS Signaling Dn,1.562442987187172,0.0254476908576814,1.5401644426757688,0.047943339689457916,-0.022278544511403098,True,True,survived
KRAS Signaling Up,-1.7865410330115243,0.0045129334067143,-1.7765296799694374,0.0,0.01001135304208689,True,True,survived
Mitotic Spindle,-1.2586539839721005,0.1250458631443772,-1.4356127013331064,0.03717080511662904,-0.17695871736100588,True,True,survived
Myc Targets V1,0.7674183747925064,0.9362236883443292,0.7237324749722578,0.9651321165894852,-0.04368589982024862,False,False,ns both
Myc Targets V2,1.1540300034432764,0.3144203581526861,1.0660423774741368,0.45021792427131574,-0.08798762596913967,False,False,ns both
Myogenesis,1.171513642786436,0.3513195098963242,1.2070812336321537,0.33710160719150095,0.03556759084571759,False,False,ns both
Notch Signaling,1.1777995298231052,0.4505183788878416,1.1512806083238856,0.4075183873603923,-0.02651892149921964,False,False,ns both
Oxidative Phosphorylation,-0.6465757166749336,0.9933957072096864,-0.6868199232618201,0.9841986455981941,-0.04024420658688643,False,False,ns both
PI3K/AKT/mTOR  Signaling,-0.7960582976830952,0.9697021012375991,-0.8460719031123712,0.8756024647672503,-0.05001360542927602,False,False,ns both
Pancreas Beta Cells,-0.8306886832152549,0.9859505901057908,1.2376024845339695,0.36257150640152547,2.0682911677492246,False,False,ns both
Pperoxisome,-0.982483029368756,0.5973000097121953,-1.122061680901307,0.3103837471783296,-0.1395786515325511,False,False,ns both
Protein Secretion,-1.7747827972613617,0.0037607778389286,-2.040578291960542,0.0,-0.2657954946991803,True,True,survived
Reactive Oxygen Species Pathway,-1.046904074082421,0.4396470609121735,-0.9605946428162142,0.6696080443258773,0.08630943126620672,False,False,ns both
Spermatogenesis,1.1246187409109762,0.3261074458058435,1.0950695279099472,0.4984109688549896,-0.029549213001029084,False,False,ns both
TGF-beta Signaling,-0.8283643428737573,0.9647919796516384,-0.908538929654259,0.7914619572433939,-0.08017458678050171,False,False,ns both
TNF-alpha Signaling via NF-kB,-2.1571800680098376,0.0,-2.052537101225876,0.0,0.10464296678396146,True,True,survived
UV Response Dn,-1.6384707357331194,0.0050143704519048,-1.6478488441661578,0.01257658819735569,-0.009378108433038435,True,True,survived
UV Response Up,-1.1091441879952997,0.3501702032246886,-0.989578904187916,0.5841563205417607,0.11956528380738363,False,False,ns both
Unfolded Protein Response,-0.7989016630828871,0.9910639283955625,-0.8669215968608159,0.8862302483069978,-0.06801993377792881,False,False,ns both
Wnt-beta Catenin Signaling,-1.0471333559921792,0.4543019629425793,-1.0362107410461254,0.5261206062560464,0.010922614946053733,False,False,ns both
Xenobiotic Metabolism,-1.2906093330302606,0.1042272715360222,-1.2408823768849337,0.16070084918843386,0.04972695614532685,True,True,survived
heme Metabolism,-1.5419355351882944,0.0173574361796706,-1.559478585301178,0.029345372460496615,-0.017543050112883707,True,True,survived
mTORC1 Signaling,-1.4369054230367406,0.0380036497407525,-1.342953860877234,0.07499372962126911,0.09395156215950662,True,True,survived
p53 Pathway,-1.0189927476900194,0.49642267473858,0.8062899888978577,0.9672568782348134,1.825282736587877,False,False,ns both
