Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Complement,16/200,2.372348122074133e-09,9.726627300503949e-08,0,0,7.668625146886017,152.29418384054665,C1QA;CR2;FCER1G;C1S;CTSL;APOC1;S100A12;CTSH;ADAM9;CD36;S100A9;CTSC;LGMN;CTSB;HSPA1A;LTF
MSigDB_Hallmark_2020,Estrogen Response Late,14/200,1.2971904573547606e-07,2.659240437577259e-06,0,0,6.577956989247312,104.3125506703183,DUSP2;CLIC3;IGFBP4;EMP2;KLF4;CXCL14;CXCL12;FABP5;PRKAR2B;TFF3;CD9;SGK1;S100A9;LTF
MSigDB_Hallmark_2020,Coagulation,11/138,8.206828230661701e-07,8.77577504824733e-06,0,0,7.491935204134726,104.98545546519036,CFD;C1QA;ANXA1;C1S;APOC1;ADAM9;CTSH;CD9;A2M;LGMN;CTSB
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,13/200,8.561731754387639e-07,8.77577504824733e-06,0,0,6.048128342245989,84.49715015636599,ITGB1;VCAM1;CXCL8;IGFBP4;SAT1;GLIPR1;DAB2;CXCL12;CDH11;PMP22;COL6A3;SPOCK1;TGFBI
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,8/87,9.301788250826973e-06,7.627466365678115e-05,0,0,8.666152999449642,100.4000160667291,IL4R;HMOX1;CD9;MAP3K8;CSF2RB;CD36;CD14;A2M
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,10/199,0.00014150781410184656,0.0006716153823969283,0,0,4.542142393019586,40.25771487331273,IL4R;CD81;FGL2;LRIG1;TLR7;MAP3K8;SLC2A3;ITGA6;SMPDL3A;HK2
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,10/200,0.00014742776686761842,0.0006716153823969283,0,0,4.518005540166205,39.858622958517685,PTGER4;DUSP2;CEBPD;MAP3K8;SLC2A3;SGK1;KLF4;SAT1;CXCL2;IER3
MSigDB_Hallmark_2020,Inflammatory Response,10/200,0.00014742776686761842,0.0006716153823969283,0,0,4.518005540166205,39.858622958517685,PTGER4;IL4R;CXCL8;RGS1;ADORA2B;STAB1;C5AR1;CD14;NOD2;HIF1A
MSigDB_Hallmark_2020,KRAS Signaling Up,10/200,0.00014742776686761842,0.0006716153823969283,0,0,4.518005540166205,39.858622958517685,ALDH1A3;FCER1G;MAFB;FGF9;TMEM176B;TMEM176A;ITGB2;IGF2;SPRY2;KLF4
MSigDB_Hallmark_2020,Interferon Gamma Response,9/200,0.000677234879712374,0.0025242390971097,0,0,4.027046800338371,29.387343433019165,HLA-DMA;IL4R;VCAM1;C1S;FGL2;XCL1;CSF2RB;SAMHD1;HIF1A
