Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myogenesis,7/200,0.0102114741373713,0.2042294827474262,0,0,3.0725388601036268,14.085265608162796,ACHE;SGCD;DES;LAMA2;TCAP;MAPRE3;IGF1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,7/200,0.0102114741373713,0.2042294827474262,0,0,3.0725388601036268,14.085265608162796,MT2A;TGFB2;PMM1;SLC22A1;LONP1;PLG;IGF1
MSigDB_Hallmark_2020,Notch Signaling,2/32,0.0553745098021606,0.5334116861064,0,0,5.574011299435028,16.129159219701553,CCND1;DTX2
MSigDB_Hallmark_2020,Hedgehog Signaling,2/36,0.06821388794308,0.5334116861064,0,0,4.9172482552342975,13.203338199320228,ACHE;PLG
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,5/200,0.0911622541794713,0.5334116861064,0,0,2.153295917244415,5.157389945126374,COMP;SGCD;LAMA2;DKK1;FBLN2
MSigDB_Hallmark_2020,p53 Pathway,5/200,0.0911622541794713,0.5334116861064,0,0,2.153295917244415,5.157389945126374,CDKN2B;PMM1;FDXR;LIF;AEN
MSigDB_Hallmark_2020,UV Response Up,4/158,0.1200341025952663,0.5334116861064,0,0,2.1764901764901765,4.61411431295318,CDKN2B;STK25;SHOX2;FGF18
MSigDB_Hallmark_2020,Apoptosis,4/161,0.1261378169008181,0.5334116861064,0,0,2.1345745549567208,4.419380861668327,TGFB2;CCND1;FDXR;NEFH
MSigDB_Hallmark_2020,Myc Targets V2,2/58,0.1515928456024822,0.5334116861064,0,0,2.982142857142857,5.625982480601789,LAS1L;PPAN
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,4/200,0.2156633260335206,0.5334116861064,0,0,1.706436420722135,2.617736203225105,DUSP4;CCND1;LIF;PHLDA2
MSigDB_Hallmark_2020,Estrogen Response Late,4/200,0.2156633260335206,0.5334116861064,0,0,1.706436420722135,2.617736203225105,PCP4;CALCR;CCND1;SERPINA5
MSigDB_Hallmark_2020,Apical Junction,4/200,0.2156633260335206,0.5334116861064,0,0,1.706436420722135,2.617736203225105,TRO;NLGN3;NRXN2;CX3CL1
MSigDB_Hallmark_2020,Inflammatory Response,4/200,0.2156633260335206,0.5334116861064,0,0,1.706436420722135,2.617736203225105,CD70;LIF;VIP;CX3CL1
MSigDB_Hallmark_2020,KRAS Signaling Up,4/200,0.2156633260335206,0.5334116861064,0,0,1.706436420722135,2.617736203225105,PCP4;HKDC1;LIF;NGF
MSigDB_Hallmark_2020,KRAS Signaling Dn,4/200,0.2156633260335206,0.5334116861064,0,0,1.706436420722135,2.617736203225105,TGFB2;SHOX2;ARHGDIG;OXT
MSigDB_Hallmark_2020,Spermatogenesis,3/135,0.2173480684235375,0.5334116861064,0,0,1.898452611218569,2.89752318601416,DDX25;TEKT2;NEFH
MSigDB_Hallmark_2020,Coagulation,3/138,0.22669996659522,0.5334116861064,0,0,1.8559810874704488,2.7545132559196457,COMP;S100A1;PLG
MSigDB_Hallmark_2020,Androgen Response,2/100,0.3343261526148192,0.6818220352193569,0,0,1.7004496713939814,1.863077715172884,CCND1;LIFR
MSigDB_Hallmark_2020,Angiogenesis,1/36,0.350367428307324,0.6818220352193569,0,0,2.3781796262808923,2.494170295775054,SERPINA5
MSigDB_Hallmark_2020,Bile Acid Metabolism,2/112,0.3857691961118623,0.6818220352193569,0,0,1.5140215716486902,1.4421298105344256,SLCO1A2;FDXR
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,1/42,0.3954771587295886,0.6818220352193569,0,0,2.029535864978903,1.8827237995304755,DKK1
MSigDB_Hallmark_2020,Apical Surface,1/44,0.409809443199498,0.6818220352193569,0,0,1.934942596408596,1.7260906973959775,CX3CL1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,3/199,0.4229816413183193,0.6818220352193569,0,0,1.2743812418584457,1.09651139416763,S100A1;LIF;ENPP1
MSigDB_Hallmark_2020,G2-M Checkpoint,3/200,0.426138772012098,0.6818220352193569,0,0,1.2678474997299924,1.0814615302256056,MT2A;CCND1;UBE2S
MSigDB_Hallmark_2020,Allograft Rejection,3/200,0.426138772012098,0.6818220352193569,0,0,1.2678474997299924,1.0814615302256056,ACHE;TGFB2;LIF
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,1/49,0.444176997613244,0.6833492270972985,0,0,1.7329465541490858,1.4063418476268452,STK25
MSigDB_Hallmark_2020,TGF-beta Signaling,1/54,0.4765511989072317,0.7060017761588617,0,0,1.569062972693257,1.1629582726537429,ID3
MSigDB_Hallmark_2020,Estrogen Response Early,2/200,0.6905168789780503,0.8909895212620003,0,0,0.837356617017634,0.3100855999567537,CALCR;CCND1
MSigDB_Hallmark_2020,Interferon Gamma Response,2/200,0.6905168789780503,0.8909895212620003,0,0,0.837356617017634,0.3100855999567537,MT2A;BANK1
MSigDB_Hallmark_2020,Complement,2/200,0.6905168789780503,0.8909895212620003,0,0,0.837356617017634,0.3100855999567537,PPP4C;PLG
MSigDB_Hallmark_2020,Glycolysis,2/200,0.6905168789780503,0.8909895212620003,0,0,0.837356617017634,0.3100855999567537,HOMER1;B3GAT1
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,1/105,0.7164282358054317,0.8955352947567896,0,0,0.7975494969165855,0.2659645699895027,NGF
MSigDB_Hallmark_2020,Unfolded Protein Response,1/113,0.7424615006510705,0.8999533341225098,0,0,0.7402802893309223,0.2204438186133587,EIF4EBP1
MSigDB_Hallmark_2020,DNA Repair,1/150,0.8351075022510513,0.9098537308828673,0,0,0.5554045252456602,0.1000810169028017,POLD4
MSigDB_Hallmark_2020,Mitotic Spindle,1/199,0.9087570508043498,0.9098537308828673,0,0,0.4169117333674296,0.0398890687713867,CEP72
MSigDB_Hallmark_2020,Hypoxia,1/200,0.9098537308828673,0.9098537308828673,0,0,0.4147954964696902,0.0391863227484248,MT2A
MSigDB_Hallmark_2020,Adipogenesis,1/200,0.9098537308828673,0.9098537308828673,0,0,0.4147954964696902,0.0391863227484248,LIFR
MSigDB_Hallmark_2020,mTORC1 Signaling,1/200,0.9098537308828673,0.9098537308828673,0,0,0.4147954964696902,0.0391863227484248,FDXR
MSigDB_Hallmark_2020,E2F Targets,1/200,0.9098537308828673,0.9098537308828673,0,0,0.4147954964696902,0.0391863227484248,UBE2S
MSigDB_Hallmark_2020,heme Metabolism,1/200,0.9098537308828673,0.9098537308828673,0,0,0.4147954964696902,0.0391863227484248,PDZK1IP1
KEGG_2021_Human,Hypertrophic cardiomyopathy,6/90,0.0007215854882615397,0.08913074850341,0,0,6.058497536945813,43.827532874086586,TGFB2;SGCD;DES;LAMA2;ITGA1;IGF1
KEGG_2021_Human,Dilated cardiomyopathy,6/96,0.0010128494148114,0.08913074850341,0,0,5.652873563218391,38.97649378679533,TGFB2;SGCD;DES;LAMA2;ITGA1;IGF1
KEGG_2021_Human,FoxO signaling pathway,6/131,0.0048470549725517,0.2843605583897026,0,0,4.062827586206897,21.65236825395637,TGFB2;CDKN2B;CCND1;HOMER1;IGF1;SGK2
KEGG_2021_Human,Cellular senescence,6/156,0.011046153431163,0.4732213954225944,0,0,3.3813793103448275,15.235389520209738,TGFB2;CDKN2B;CCND1;EIF4EBP1;SLC25A31;NFATC4
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,4/77,0.0134437896426873,0.4732213954225944,0,0,4.610467158412364,19.867600351336744,SGCD;DES;LAMA2;ITGA1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,8/295,0.025350718689054,0.5540593618463119,0,0,2.360248447204969,8.673790779525733,TGFB2;CD70;LIF;ACKR4;LIFR;NGF;CX3CL1;CCL27
KEGG_2021_Human,TGF-beta signaling pathway,4/94,0.0259487875632429,0.5540593618463119,0,0,3.736372269705603,13.643850537731655,CDKN2B;TGFB2;ID3;HAMP
KEGG_2021_Human,PI3K-Akt signaling pathway,9/354,0.0263659341673275,0.5540593618463119,0,0,2.211923295993925,8.041850762243078,COMP;CCND1;LAMA2;FGF18;ITGA1;EIF4EBP1;IGF1;NGF;SGK2
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,5/143,0.0283325810035045,0.5540593618463119,0,0,3.0515643465820737,10.874990665175543,ZIC3;LIF;ID3;LIFR;IGF1
KEGG_2021_Human,Viral myocarditis,3/60,0.0346649601003463,0.5546393616055417,0,0,4.4132138857782754,14.83733937561344,SGCD;CCND1;LAMA2
